id,name,family,safety,suggested_ns_color,confidence,reason
"8424a558-2b15-4402-a738-b9600834906d","Tibial Nerve Dynamic Opener (Tarsal Tunnel)","Breathe","yellow","Green","medium","movement family 'Breathe' is typically Green"
"885a07cb-33aa-41a5-922d-655072136b94","Stooped Shopper","Breathe","green","Green","medium","movement family 'Breathe' is typically Green"
"5bf34f84-2ce2-4576-ba9d-6a315ae91d9e","Level 2 Dynamic Closer (Lumbar)","Breathe","yellow","Green","medium","movement family 'Breathe' is typically Green"
"bc29cc10-8573-4452-b5f4-d9ca1974bd79","A10: Pseudo-Sliders","Breathe","green","Green","medium","movement family 'Breathe' is typically Green"
"d8abf275-98eb-4da0-9a53-4d39ff77c0a5","Cervical Static Opener","Breathe","yellow","Green","medium","movement family 'Breathe' is typically Green"
"e1469398-720c-43a7-a6dd-6160ac482a72","Template Section","Core","yellow","Amber","medium","ambiguous family 'Core' + safety=yellow → Amber"
"aa221987-c56b-4ef4-ba6a-3cf31e3f1465","Cat B: Movement & Load (Timing): Gait/movement phases trigger automatic local stabilizers","Gait","yellow","Amber","medium","ambiguous family 'Gait' + safety=yellow → Amber"
"198d8c54-f5ef-459e-830d-bd9d579bff78","BACK FUNCTIONAL LINE - Station 1: Vastus lateralis / Gluteus maximus lower fibers","Gait","yellow","Amber","medium","ambiguous family 'Gait' + safety=yellow → Amber"
"2a7741bf-ecbc-4771-a69e-33de79084f67","15. Ankle/foot pain with gait impact","Gait","yellow","Amber","medium","ambiguous family 'Gait' + safety=yellow → Amber"
"32674660-38b9-4375-b302-b5c465dcef2e","Bird Dog","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"38de0c47-3336-4d78-a034-b9f643e5edcf","Slant Board Calf Raise","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"68903b0d-2665-4f32-8326-d631a4f87d48","Slant Board Single Leg Calf Raise","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"8ac733b8-b86e-4819-bc81-982dce1a3e8e","Elastic Recoil Management","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"8d8a5d93-b9d2-4fc6-8281-e1f39cd0d0d8","Ball Squeeze Hip Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"76d16b7f-2497-4b38-9a16-529a7101e73d","Reverse Grip Dowel Pullover","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"4000b690-29d6-4498-b19d-11cdca8dcc06","Wrist Tendon Gliding","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"1655f931-38e7-4b21-881d-a3ecf88d29ae","Shoulder Pendulum","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"364af83d-6075-4f45-8d5b-6d81543b5f1d","Shoulder Scaption Table Slide","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"50ae7d20-eda8-46f6-b064-06c742514390","Reclining Hero Pose","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"07da9e1e-b5fb-4d93-8b8c-aa15f92ea3eb","Y-Raise Hurdles","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"4992bcec-4f93-4034-ac5c-866aac9e035a","Single Leg Reclining Hero Pose","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"fd697ee4-3e82-4ef3-9dfc-249df13a77fd","Shoulder Rolls","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"512ef205-c42e-48ab-bdd5-e7e22893a76d","Wall Thoracic Extension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"8a89b4e0-1d8f-4bad-9155-cce93377a0c5","Front Line Opener","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"d3c3ece7-de6b-4c9c-bc72-f1ec59ff239a","Banded Empty Can Raise","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"7dedfc79-2bd9-472c-945e-4555927b44db","Ankle Circles","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"67f0ce15-0645-4685-aafd-3040352ad34c","Shoulder Clock","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"17549c5c-1df5-4da1-bdc2-956b7ec99421","Roman Chair Hyperextension","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"f360210c-ca1d-4ce6-87b2-625d0fcdbb67","Fire Hydrant Circle","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"161deba4-1bee-4930-8fb3-958587639389","Dowel Pullover","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"de4fbe4b-b8f7-4dd7-9b41-68b0a489fd82","Single Leg Toe Touch","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"ce38bb48-95f6-48cf-8b8f-2c8b01a9ca17","Cat Camel","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"03f52e8e-50b2-4b87-8297-0397a200c3a0","Segmental Thoracic Opener","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"a830eafa-f58f-4177-ada5-28bac54cfb42","Shoulder Flexion Table Slide","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
"81aff294-0790-41d6-b8e3-1e106f525878","Banded First Rib Head Tilt","Mobility","green","Green","medium","movement family 'Mobility' is typically Green"
